phi,psi,end_state,energy,caspt2_energy,caspt2_root,ms_caspt2_energy,ms_caspt2_root,ms_caspt2_highest_occupation,ms_caspt2_occupation_weight,ms_caspt2_occupation_coeff,config,coeff,weight,dipole moment,start_state,caspt2_energy_difference_ev,ms_caspt2_energy_difference_ev,dx_debyes,dy_debyes,dz_debyes,totald_debyes,transition,energy_difference_eV
0,0,1,-453.93955,-455.3710983633,1,-455.37498565,1.0,22222200,0.937794,0.968398,22222200,0.96154,0.92457,5.3484,1,0.0,0.0,,,,,GROUND,0.0
0,0,2,-453.721237,-455.1512827561,2,-455.15091166,3.0,222u22d0,0.857879,0.926218,222u22d0,0.95202,0.90635,4.1906,1,5.981490413762592,6.097366971485056,0.0637602011406612,0.0210455388404294,-0.1391716626509699,0.1545219389207433,n_to_pi_*_R,5.940602368200634
0,0,3,-453.708729,-455.15514503,3,-455.15554852,2.0,22u2220d,0.841606,0.917391,22u2220d,0.94826,0.89919,4.1713,1,5.876392533759037,5.971191519280918,0.0267873345431255,0.0029025537290065,-0.2198496129173275,0.2214945561892562,n_to_pi_*_L,6.280962559399775
0,0,4,-453.633875,-455.1313554467,4,-455.12592126,5.0,2u22220d,0.693377,-0.832693,2u22220d,-0.75301,0.56703,2.3072,1,6.523740400769071,6.777390742046025,-2.096268627241674,-0.7747322267292913,-0.2656787290065471,2.25058600707576,pi_nb_to_pi_*_L,8.317844695000217
0,0,6,-453.610335,-455.1067209235,6,-455.13521255,4.0,22222ud0,0.654708,-0.809141,22222ud0,-0.55297,0.30578,4.3159,1,7.194080265373734,6.52456173333944,3.750807180472531,0.6437371243544386,0.5712025639461592,3.848275512382579,pi_nb_to_pi_*_R,8.958401050999361
0,0,7,-453.606381,-455.1065836933,7,-455.13521255,4.0,22222ud0,0.654708,-0.809141,22222ud0,0.60605,0.3673,3.7481,1,7.197814491237531,6.52456173333944,-3.6462734842015374,-1.025598160912529,-0.6243447831523729,3.8388759098857306,pi_nb_to_pi_*_R,9.065994926599947
0,270,1,-453.952109,-455.3699178302,1,-455.37341506,1.0,22222200,0.901393,-0.949417,22222200,-0.94157,0.88655,5.1528,1,0.0,0.0,,,,,GROUND,0.0
0,270,2,-453.747422,-455.1656778198,2,-455.16607474,2.0,2222u2d0,0.851903,0.922986,2222u2d0,0.93637,0.87679,3.4999,1,5.55765661899816,5.642020383648391,-0.2621499761091456,0.0428884800333455,-0.124344564576471,0.2932978045829775,n_to_pi_*_R,5.569819831800963
0,270,3,-453.741443,-455.1611634474,3,-455.16135095,3.0,22222u0d,0.867541,0.931419,22222u0d,0.92625,0.85794,3.4605,1,5.680499012124175,5.770561322854775,0.0157734652667642,-0.0040708690679516,0.1637513002724574,0.1645596018360375,n_to_pi_*_L,5.732516792400092
0,270,4,-453.630526,-455.1171219463,4,-455.11801342,5.0,222u220d,0.808948,0.899415,222u220d,0.8359,0.69872,6.4258,1,6.878929915155861,6.949836186696063,0.0131058398651945,0.0785210193770078,-3.712216842544021,3.713070305192957,pi_nb_to_pi_*_L,8.750723646200882
