Phi,Psi,end_state,Energy,CASPT2_Energy,MS_CASPT2_Energy,MS_CASPT2_Highest_Occupation,MS_CASPT2_Occupation_Weight,MS_CASPT2_Occupation_Coeff,Config,Coeff,Weight,Dipole Moment,start_state,CASPT2_Energy_Difference_eV,MS_CASPT2_Energy_Difference_eV,Dx_Debyes,Dy_Debyes,Dz_Debyes,TotalD_Debyes
0,345,4,-453.633892,-455.1101081035,-455.09515752,22222u0d,0.858556,0.926583,22222u0d,-0.75408,0.56863,5.3247,1,7.051279031450823,7.506530273264082,2.5249314459558376,0.2347660983693221,0.0815360901854337,2.537132645073401
0,345,5,-453.62874,-455.1129900804,-455.09515752,22222u0d,0.858556,0.926583,22222u0d,0.56404,0.31814,3.2473,1,6.972856405234951,7.506530273264082,0.6856633753202392,-0.9266977044447156,-0.29562950113862796,1.1900839051888903
0,345,5,-453.62874,-455.1129900804,-455.11372825,222u220d,0.506761,0.711872,222u220d,-0.69901,0.48862,3.2473,1,6.972856405234951,7.0011947109414905,0.6856633753202392,-0.9266977044447156,-0.29562950113862796,1.1900839051888903
0,345,6,-453.608252,-455.0728880211,-455.07127869,2222u20d,0.822838,-0.907104,2222u20d,-0.88138,0.77684,10.815,1,8.064089581669728,8.15630666792611,-0.6544905580293604,0.3199025812289049,-0.0312704843743646,0.7291593774145013
0,345,7,-453.603396,-455.1157657226,-455.12955487,22222ud0,0.474363,0.68874,22222ud0,0.84596,0.71564,5.04,1,6.897327295074075,6.5705302234739165,-5.041170245211663,-1.31994945559351,-1.6176936607905332,5.456427097312025
15,0,1,-453.937542,-455.3701465318,-455.37268842,22222200,0.936388,0.967672,22222200,0.96239,0.92619,5.5763,1,0.0,0.0,,,,
15,0,2,-453.718737,-455.1509905446,-455.15122632,2222u2d0,0.897088,-0.947147,2222u2d0,-0.95823,0.91821,4.3355,1,5.963541230094001,6.026293787939906,0.15973438097271359,-0.041571810062624545,0.11364594338375829,0.2003963281790086
15,0,3,-453.709711,-455.1573833176,-455.1574383,22u2220d,0.884041,0.940235,22u2220d,0.94194,0.88726,4.1309,1,5.789584926881367,5.8572571153666555,0.06794779517913058,0.04205523616363711,-0.14540928591761215,0.16591987871579034
15,0,4,-453.638363,-455.1167355976,-455.09954977,22222u0d,0.844887,-0.919178,22222u0d,-0.64711,0.41875,4.7787,1,6.895666294890404,7.432485060609031,-1.503553947582449,0.7738413342279697,-0.4755007091008906,1.7565892552153226
15,0,4,-453.638363,-455.1167355976,-455.13117591,222u220d,0.528318,-0.726855,222u220d,0.55766,0.31098,4.7787,1,6.895666294890404,6.57189351461264,-1.503553947582449,0.7738413342279697,-0.4755007091008906,1.7565892552153226
